Subclass/&BardSubclassCollegeTitle	Hochschule
Subclass/&BardSubclassCollegeDescription	Wählen Sie ein Barden-College
Class/&BardClassTitle	Barde
Class/&BardClassDescription	Unzählige Wunder und Geheimnisse gibt es für diejenigen, die geschickt genug sind, sie zu entdecken. Durch Klugheit, Talent und Magie entwirren diese wenigen Schlauen die List der Welt und werden geschickt in der Kunst der Überzeugung, Manipulation und Inspiration. In der Regel Meister einer oder mehrerer Formen der Kunst, besitzen Barden die unheimliche Fähigkeit, mehr zu wissen, als sie sollten, und das Gelernte zu nutzen, um sich und ihre Verbündeten der Gefahr immer einen Schritt voraus zu halten. Barden sind schlagfertig und fesselnd, und ihre Fähigkeiten können sie auf viele Wege führen, seien es Spieler oder Alleskönner, Gelehrte oder Künstler, Anführer oder Schurken oder sogar alle oben genannten. Für Barden bringt jeder Tag seine eigenen Chancen, Abenteuer und Herausforderungen mit sich, und nur indem sie sich den Widrigkeiten widersetzen, das meiste wissen und der Beste sind, können sie die Schätze eines jeden für sich beanspruchen.
Feature/&BardWeaponProficiencyTitle	Bardenwaffen-Fertigkeiten
Feature/&BardArmorProficiencyTitle	Fertigkeiten der Bardenrüstung
Feature/&BardToolsProficiencyTitle	Bardenwerkzeug-Kenntnisse
Feature/&BardClassSkillPointPoolTitle	Bardenfähigkeiten
Feature/&BardClassSkillPointPoolDescription	Wähle 3 beliebige Fähigkeiten
Feature/&BardClassSpellcastingTitle	Barden-Zauberwirken
Feature/&BardClassSpellcastingDescription	Kann Zauber aus der Liste der Bardenzauber wirken
Feature/&BardClassInspirationPowerTitle	Bardische Inspiration
Feature/&BardClassInspirationPowerDescription	Sie können andere durch aufrüttelnde Worte oder Musik inspirieren. Um dies zu tun, verwenden Sie in Ihrem Zug eine Bonusaktion, um eine andere Kreatur als Sie selbst innerhalb von 18 Metern von Ihnen zu wählen, die Sie hören kann. Diese Kreatur erhält einen bardischen Inspirationswürfel, einen W6.\nEinmal innerhalb der nächsten 10 Minuten kann die Kreatur würfeln und die gewürfelte Zahl zu einem Fähigkeitswurf, Angriffswurf oder Rettungswurf addieren. Sobald der bardische Inspirationswürfel gewürfelt wurde, ist er verloren. Eine Kreatur kann jeweils nur einen bardischen Inspirationswürfel haben.\nDu kannst diese Funktion so oft verwenden, wie es deinem Charisma-Modifikator entspricht (mindestens einmal). Du erhältst alle verbrauchten Verwendungen zurück, wenn du eine lange Pause beendet hast.\nIhr bardischer Inspirationswürfel ändert sich, wenn Sie bestimmte Stufen in dieser Klasse erreichen. Der Würfel wird ein W8 auf der 5. Stufe, ein W10 auf der 10. Stufe und ein W12 auf der 15. Stufe.
Feature/&BardClassFontOfInspirationFeatureTitle	Quelle der Inspiration
Feature/&BardClassFontOfInspirationFeatureDescription	Ab Stufe 5 erhältst du alle deine verbrauchten Bardische Inspiration zurück, wenn du eine kurze oder lange Pause beendest.
Feature/&BardClassRitualCastingDescription	Du kannst einen bekannten Zauberspruch als Ritual wirken, wenn der Zauberspruch das Ritual-Tag trägt.
Feature/&BardClassExpertisePointPoolTitle	Sachverstand
Feature/&BardClassExpertisePointPoolDescription	Wählen Sie auf der 3. Stufe zwei Ihrer Fähigkeiten aus. Dein Fertigkeitsbonus wird für jeden Fertigkeitswurf verdoppelt, der eine der gewählten Fertigkeiten verwendet.\nAuf der 10. Stufe können Sie zwei weitere Fertigkeiten auswählen, um diesen Vorteil zu erhalten.
Feature/&BardClassJackOfAllTradesFeatureTitle	Alleskönner
Feature/&BardClassJackOfAllTradesFeatureDescription	Ab der 2. Stufe kannst du die Hälfte deines Fertigkeitsbonus, abgerundet, zu jedem Fertigkeitswurf addieren, der deinen Fertigkeitsbonus noch nicht beinhaltet.
Feature/&BardClassSongOfRestTitle	Lied der Ruhe
Feature/&BardClassSongOfRestDescription	Ab der 2. Stufe kannst du beruhigende Musik oder Ansprachen verwenden, um deine verwundeten Verbündeten während einer kurzen Pause wiederzubeleben. Wenn du oder eine befreundete Kreatur, die deine Leistung hören kann, einen oder mehrere Trefferwürfel ausgibst, um am Ende der kurzen Pause Trefferpunkte zurückzugewinnen, erhält jede dieser Kreaturen 1W6 zusätzliche Trefferpunkte zurück.\nDie zusätzlichen Trefferpunkte erhöhen sich, wenn Sie bestimmte Stufen in dieser Klasse erreichen: auf 1W8 auf der 9. Stufe, auf 1W10 auf der 13. Stufe und auf 1W12 auf der 17. Stufe.
Feature/&BardClassMagicalSecretsTitle	Magische Geheimnisse
Feature/&BardClassMagicalSecretsDescription	Mit der 10. Stufe hast du magisches Wissen aus einem breiten Spektrum von Disziplinen geplündert. Wähle zwei Zaubersprüche aus einer beliebigen Klasse, einschließlich dieser. Ein Zauber, den du wählst, muss eine Stufe haben, die du wirken kannst.\nDie ausgewählten Zaubersprüche zählen für dich als Bardenzauber und sind in der Zahl in der Spalte Bekannte Zauber der Bardentabelle enthalten.\nSie lernen zwei zusätzliche Zaubersprüche aus einer beliebigen Klasse auf der 14. Stufe und erneut auf der 18. Stufe.
Feature/&BardClassCountercharmPowerTitle	Gegenzauber
Feature/&BardClassCountercharmPowerDescription	Auf der 6. Stufe erlangst du die Fähigkeit, Musiknoten oder Worte der Macht zu verwenden, um geistesbeeinflussende Effekte zu stören. Als Aktion kannst du eine Darbietung beginnen, die bis zum Ende deines nächsten Zuges andauert. Während dieser Zeit haben Sie und alle befreundeten Kreaturen im Umkreis von 9 m einen Vorteil bei Rettungswürfen, um Angst oder Verzauberung zu haben.
Feature/&BardClassCountercharmPowerEffectDescription	Sie haben einen Vorteil bei Rettungswürfen, um Angst oder Verzauberung zu haben.
Stage/&SubclassSelectionStageCollegeHeader	Bard Colleges
Stage/&SubclassSelectionStageCollegeTitle	Bard College
Stage/&SubclassSelectionStageCollegeFeatures	College-Funktionen
Subclass/&BardSubclassCollegeOfLoreTitle	College of Lore
Subclass/&BardSubclassCollegeOfLoreDescription	Die Barden des College of Lore wissen über die meisten Dinge etwas Bescheid und sammeln Wissen aus so unterschiedlichen Quellen wie wissenschaftlichen Wälzern und Bauerngeschichten. Ob beim Singen von Volksballaden in Tavernen oder aufwendigen Kompositionen an königlichen Höfen, diese Barden nutzen ihre Gaben, um das Publikum in ihren Bann zu ziehen. Wenn der Applaus nachlässt, stellen die Zuschauer möglicherweise alles in Frage, was sie für wahr hielten, von ihrem Glauben an das Priestertum des örtlichen Tempels bis hin zu ihrer Loyalität gegenüber dem König.
Feature/&BardLoreSublclassExtraSkillPointPoolTitle	Bonus-Kenntnisse
Feature/&BardLoreSublclassExtraSkillPointPoolDescription	Wenn Sie dem College of Lore auf der 3. Stufe beitreten, erwerben Sie Kenntnisse in drei Fähigkeiten Ihrer Wahl.
Feature/&BardClassCuttingWordsTitle	Schneidende Worte
Feature/&BardClassCuttingWordsPowerAttackRollTitle	Schneidende Worte: Angriffswürfe Strafe
Feature/&BardClassCuttingWordsPowerDamageRollTitle	Schneidende Worte: Schadenswürfe Strafe
Feature/&BardClassCuttingWordsDescription	Auf der 3. Stufe lernen Sie, wie Sie Ihren Verstand einsetzen, um das Selbstvertrauen und die Kompetenz anderer abzulenken, zu verwirren und anderweitig zu schwächen. Wenn eine Kreatur, die du in einem Umkreis von 18 m um dich sehen kannst, einen Angriffswurf, einen Fähigkeitswurf oder einen Schadenswurf macht, kannst du deine Reaktion nutzen, um eine deiner Verwendungen von Bardischer Inspiration zu verbrauchen, einen Bardischen Inspirationswürfel zu würfeln und die Zahl abzuziehen aus dem Wurf der Kreatur gewürfelt. Die Kreatur ist immun, wenn sie dich nicht hören kann oder immun gegen Verzauberung ist.
Reaction/&UseBardClassCuttingWordsAttackRollsPenaltyPowerReactDescription	Gib eine Anwendung deiner Inspiration aus, um deinen Inspirationswürfel vom Angriffswurf des Ziels abzuziehen. Dies nutzt Ihre Reaktion bis zu Ihrem nächsten Zug.
Reaction/&UseBardClassCuttingWordsDamageRollsPenaltyPowerReactDescription	Gib eine Anwendung deiner Inspiration aus, um deinen Inspirationswürfel vom Schadenswurf des Ziels abzuziehen. Dies nutzt Ihre Reaktion bis zu Ihrem nächsten Zug.
Feature/&BardLoreSubclassAdditionalMagicalSecretsTitle	Zusätzliche magische Geheimnisse
