Subclass/&BardSubclassCollegeTitle	Faculdade
Subclass/&BardSubclassCollegeDescription	Selecione uma faculdade Bard
Class/&BardClassTitle	Bardo
Class/&BardClassDescription	Maravilhas e segredos incontáveis ​​existem para aqueles habilidosos o suficiente para descobri-los. Por meio da inteligência, talento e magia, esses poucos astutos desvendam as artimanhas do mundo, tornando-se adeptos das artes da persuasão, manipulação e inspiração. Normalmente mestres de uma ou várias formas de arte, os bardos possuem uma habilidade incrível de saber mais do que deveriam e usar o que aprenderam para manter a si mesmos e a seus aliados sempre um passo à frente do perigo. Bardos são perspicazes e cativantes, e suas habilidades podem levá-los por muitos caminhos, sejam eles jogadores ou pau para toda obra, estudiosos ou performers, líderes ou canalhas, ou até mesmo todos os anteriores. Para os bardos, cada dia traz suas próprias oportunidades, aventuras e desafios, e apenas vencendo as probabilidades, sabendo o máximo e sendo o melhor, eles podem reivindicar os tesouros de cada um.
Feature/&BardWeaponProficiencyTitle	Proficiências com armas de bardo
Feature/&BardArmorProficiencyTitle	Proficiências em Armadura de Bardo
Feature/&BardToolsProficiencyTitle	Proficiências em ferramentas de bardo
Feature/&BardClassSkillPointPoolTitle	Habilidades de bardo
Feature/&BardClassSkillPointPoolDescription	Escolha quaisquer 3 habilidades
Feature/&BardClassSpellcastingTitle	Lançamento de feitiços de bardo
Feature/&BardClassSpellcastingDescription	Pode lançar feitiços da lista de Feitiços do Bardo
Feature/&BardClassInspirationPowerTitle	Inspiração Bárdica
Feature/&BardClassInspirationPowerDescription	Você pode inspirar outras pessoas por meio de palavras ou música estimulantes. Para fazer isso, você usa uma ação bônus em seu turno para escolher uma criatura diferente de você dentro de um raio de 18 metros de você que pode ouvi-lo. Essa criatura ganha um dado de Inspiração Bárdica, um d6. \nUma vez dentro dos próximos 10 minutos, a criatura pode rolar o dado e adicionar o número rolado a um teste de habilidade, jogada de ataque ou teste de resistência que ela fizer. Assim que o dado de inspiração Bardic é lançado, ele é perdido. Uma criatura pode ter apenas um dado de Inspiração Bárdica por vez. \nVocê pode usar este recurso um número de vezes igual ao seu modificador de Carisma (no mínimo uma vez). Você recupera todos os usos despendidos ao terminar um longo descanso. \nSeu dado de inspiração bárdica muda quando você atinge certos níveis nesta classe. O dado se torna um d8 no 5º nível, um d10 no 10º nível e um d12 no 15º nível.
Feature/&BardClassFontOfInspirationFeatureTitle	Fonte de inspiração
Feature/&BardClassFontOfInspirationFeatureDescription	Começando quando você atinge o 5º nível, você recupera todos os seus usos gastos da Inspiração Bárdica quando termina um descanso curto ou longo.
